file_id,type,number_kw,date,area,param,step,number,request_time
pf_2017-01-01_1.grib,pf,number,2017-01-01/to/2017-12-31,31.375/121/31.25/121.125,121/122,6/to/360/by/6,1/to/10,
pf_2017-01-01_2.grib,pf,number,2017-01-01/to/2017-12-31,31.375/121/31.25/121.125,121/122,6/to/360/by/6,11/to/20,
pf_2017-01-01_3.grib,pf,number,2017-01-01/to/2017-12-31,31.375/121/31.25/121.125,121/122,6/to/360/by/6,21/to/30,
pf_2017-01-01_4.grib,pf,number,2017-01-01/to/2017-12-31,31.375/121/31.25/121.125,121/122,6/to/360/by/6,31/to/40,
pf_2017-01-01_5.grib,pf,number,2017-01-01/to/2017-12-31,31.375/121/31.25/121.125,121/122,6/to/360/by/6,41/to/50,
cf_2017-01-01_0.grib,cf,#,2017-01-01/to/2017-12-31,31.375/121/31.25/121.125,121/122,6/to/360/by/6,None,
pf_2017-01-01_1.grib,pf,number,2017-01-01/to/2017-12-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,1/to/10,
pf_2017-01-01_2.grib,pf,number,2017-01-01/to/2017-12-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,11/to/20,
pf_2017-01-01_3.grib,pf,number,2017-01-01/to/2017-12-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,21/to/30,
pf_2017-01-01_4.grib,pf,number,2017-01-01/to/2017-12-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,31/to/40,
pf_2017-01-01_5.grib,pf,number,2017-01-01/to/2017-12-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,41/to/50,
cf_2017-01-01_0.grib,cf,#,2017-01-01/to/2017-12-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,None,
pf_2018-01-01_1.grib,pf,number,2018-01-01/to/2018-12-31,31.375/121/31.25/121.125,121/122,6/to/360/by/6,1/to/10,
pf_2018-01-01_2.grib,pf,number,2018-01-01/to/2018-12-31,31.375/121/31.25/121.125,121/122,6/to/360/by/6,11/to/20,
